SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,HouseAge
2126,4,1,Rural,1969,215355.28361820136,57
2459,3,2,Rural,1980,195014.22162584803,46
1860,2,1,Suburb,1970,306891.0120763329,56
2294,2,1,Urban,1996,206786.78715332696,30
2130,5,2,Suburb,2001,272436.239065061,25
2095,2,3,Suburb,2020,198208.80390657103,6
2724,2,1,Suburb,1993,343429.3191099182,33
2044,4,3,Rural,1957,184992.321268412,69
2638,4,3,Urban,1959,377998.58815204125,67
1121,5,2,Urban,2004,95961.92601406392,22
1466,5,3,Suburb,1951,191113.7686788604,75
2238,3,3,Suburb,1987,253358.64500167352,39
1330,2,2,Suburb,1992,132172.3926169813,34
2482,4,3,Suburb,1989,231157.02767588635,37
1087,4,1,Urban,1976,118393.82316264397,50
2396,2,2,Suburb,1993,267377.3996858498,33
2123,5,2,Rural,1956,190773.14856300573,70
1871,4,2,Suburb,1977,172989.80490101498,49
2687,5,1,Urban,1979,239222.6677969504,47
1130,4,3,Rural,1962,143050.20178240183,64
2685,4,3,Urban,1999,405523.82831733953,27
2332,3,3,Rural,1978,263954.1540627713,48
1769,4,1,Suburb,1963,148310.62016790514,63
1343,2,3,Rural,2013,151733.92248999208,13
2515,2,3,Urban,2013,307961.1073823952,13
2437,2,1,Rural,2004,276162.86180465267,22
1805,5,1,Rural,2002,243985.2054715822,24
1385,4,3,Rural,1996,88030.54185271678,30
2215,5,1,Urban,1952,282908.98169371625,74
1955,3,1,Rural,2014,240976.55176671065,12
1276,4,1,Rural,1965,104747.33458904953,61
2184,2,2,Suburb,1959,347207.38956128363,67
1459,3,2,Rural,2006,77493.9314389322,20
2337,3,3,Suburb,2008,331851.0816694101,18
1021,4,3,Rural,2013,110408.67080143408,13
1252,2,1,Urban,1993,127932.75677961828,33
1747,5,3,Rural,1982,228683.2269961876,44
1856,4,2,Rural,1959,124711.70785494654,67
2584,2,3,Suburb,2001,415850.77083678055,25
1474,3,3,Urban,1959,184819.9611900152,67
2082,4,2,Suburb,1966,164855.98777549056,60
1510,3,2,Suburb,2002,156928.01471681413,24
2705,2,1,Urban,1971,282457.8613741379,55
2499,5,1,Urban,2021,287591.6728221959,5
1699,5,1,Rural,1960,156313.5941951282,66
1975,3,3,Suburb,2016,279764.3710402287,10
2806,3,3,Suburb,1962,366494.48060208897,64
1189,3,3,Urban,2007,244539.2816890332,19
1957,4,2,Rural,1994,239299.9944944986,32
1686,2,3,Urban,1994,249148.34468610145,32
1957,3,2,Rural,1992,304197.5798399542,34
1562,3,3,Rural,2013,89378.55062087673,13
2899,3,3,Rural,1988,427295.4046033164,38
2590,5,2,Suburb,1957,328501.8015463275,69
2267,3,2,Urban,1989,215867.4189845816,37
1831,2,2,Rural,2000,190058.8928999779,26
2528,5,1,Urban,1969,259751.15444635932,57
2154,2,1,Rural,2015,166810.3886512713,11
2508,5,3,Suburb,2007,352932.1624639027,19
2842,5,3,Urban,2014,422042.91851435706,12
1646,4,3,Suburb,1994,91423.61964633202,32
1020,5,1,Rural,1983,220053.8603574218,43
1840,5,3,Suburb,1961,216148.20845399628,65
1166,2,2,Suburb,1972,161587.15372788318,54
2297,2,2,Urban,2017,194967.9094711132,9
1387,3,1,Rural,2002,152828.720291152,24
1600,4,2,Rural,2002,256725.9809436184,24
1315,5,2,Suburb,1989,98039.30310069738,37
1013,4,3,Urban,2002,164858.18694892063,24
1241,3,2,Urban,1985,199373.182099092,41
1776,4,2,Urban,2014,181245.4467436535,12
2369,5,1,Suburb,1963,209700.7184829428,63
1564,2,2,Rural,1983,163053.3920501942,43
1897,4,2,Rural,1975,304004.68986597785,51
2363,5,3,Urban,2004,308830.9396512381,22
1091,3,3,Urban,2012,194294.00184175,14
2390,5,3,Urban,2019,172777.3198326151,7
1955,4,1,Suburb,1995,197656.07026552537,31
2478,5,3,Urban,1986,273365.49912049377,40
2451,5,2,Rural,1972,216047.21814963987,54
1508,4,1,Urban,1965,149586.15312931265,61
1775,4,2,Suburb,1981,214171.08224172727,45
2966,3,2,Rural,1956,277419.0001600792,70
1034,5,3,Rural,1993,117295.37520060757,33
1205,2,1,Urban,1996,180760.867453112,30
2104,4,1,Suburb,1954,202715.1601476104,72
2955,5,3,Rural,2012,378403.5710107572,14
2585,2,1,Suburb,1961,257776.0924243205,65
2895,2,2,Suburb,2021,266046.87792908505,5
2411,5,1,Rural,1958,337645.67623531295,68
2025,5,2,Rural,1993,240145.9702539115,33
2021,5,1,Suburb,1971,92641.62211021264,55
2413,2,1,Urban,1995,152037.88283583574,31
1565,5,3,Rural,1957,149848.61640852437,69
2129,4,3,Urban,2005,220384.43445019663,21
2795,2,1,Rural,1977,305658.56385268376,49
2845,4,2,Urban,1996,318297.25657762005,30
2500,4,3,Rural,1984,230749.27633657065,42
1702,5,3,Urban,1970,201925.84088885225,56
1401,4,3,Suburb,1982,149576.68114338422,44
1729,5,1,Rural,2019,171877.06629783398,7
2579,2,2,Urban,1997,245276.73391788083,29
1161,4,2,Suburb,2003,288571.1271841178,23
1201,5,1,Urban,1951,87804.5603712397,75
2981,3,2,Rural,1982,267127.0106286388,44
1995,5,3,Suburb,1965,221217.769331586,61
1269,3,2,Suburb,1999,218784.6329858073,27
2886,5,3,Rural,1969,315607.02376495936,57
1815,3,3,Urban,2016,217967.92847377845,10
2294,4,1,Rural,1994,353343.63401135267,32
1455,3,3,Urban,1984,187002.96390785457,42
2485,4,2,Rural,1978,222855.0832963985,48
2750,4,2,Rural,1994,366548.8223262025,32
2275,5,2,Rural,1964,259473.2793370484,62
2016,4,2,Urban,1952,212440.4223945249,74
2725,2,2,Urban,2018,237066.6856356926,8
1295,3,3,Urban,1983,158357.6480582802,43
2748,5,1,Suburb,2020,255619.99775314287,6
1719,4,1,Suburb,1953,190659.43496867083,73
2772,3,2,Urban,1968,284985.43569363654,58
1337,3,3,Urban,1970,214741.228522745,56
1878,2,1,Suburb,1964,128693.02879404814,62
2076,3,2,Rural,1966,184051.98271688656,60
1791,5,3,Rural,2003,242865.26019000952,23
2945,5,1,Urban,1986,295356.77549321775,40
1216,4,3,Rural,2003,107868.93208831896,23
1763,4,2,Urban,1971,207380.13609180792,55
1187,5,3,Suburb,1957,132828.81413178446,69
1379,3,1,Urban,1960,84493.6913127725,66
1492,3,1,Suburb,2019,53360.86540604882,7
2064,2,3,Rural,1958,296199.3496255564,68
2180,4,1,Urban,1951,273924.557395998,75
1014,3,3,Urban,1981,204340.7258965054,45
2836,3,3,Urban,2000,228582.09695971967,26
1064,4,2,Suburb,1986,237384.3466275038,40
2880,5,2,Rural,1955,312245.8679787154,71
2862,3,3,Urban,1961,219408.6249604324,65
1520,2,1,Rural,2003,201334.94160447217,23
2367,3,2,Suburb,1995,221413.5776081872,31
2152,3,1,Rural,1982,306839.62194227794,44
1647,2,3,Urban,1967,126756.3572316613,59
2495,5,1,Urban,1987,328702.8347369156,39
2086,2,1,Suburb,2008,141074.02839361285,18
2162,2,3,Rural,1956,220712.46134879728,70
2522,4,2,Urban,1964,319176.8398973249,62
1592,3,2,Suburb,1950,245299.2098929523,76
1391,5,1,Rural,1995,51154.13113008726,31
2698,3,3,Urban,1981,314018.0283390546,45
1418,5,3,Suburb,1998,222904.25800629333,28
1288,2,2,Suburb,1959,115697.77821526628,67
1378,4,3,Suburb,1966,140714.77037514705,60
2796,2,3,Suburb,1969,178353.14814536367,57
2513,3,1,Suburb,2000,280022.0311214733,26
1230,4,1,Rural,1971,136418.4807787985,55
2017,4,2,Urban,1969,195803.9703359068,57
